PrixArgent,Prix Or,Prix Pétrole brut,Prix Gaz naturel,Prix Blé,Prix Café Robusta,Prix Café Arabica,Réserve extérieur,Taux de chomage,Production Industrielle,Export,Import,Indice des prix à la consommation,revenu personnel,Dépenses de consommation personnelle,Downjones,NASDAQ,S&P 500,year,month
786.38,476.67,54.98,2.424802725718295,161.12,54.72,4.698751599609622,68773,5.0,100.9014,107.6,112.3,198.1,10878.1,8987.689,10805.87,2232.82,1249.47998,2016,11
868.74,510.1,56.47,2.642622395779755,164.44,59.01,4.644679319082804,65127,4.9,101.4873,107.7,112.3,198.1,10939.9,9026.766,10717.5,2205.32,1248.290039,2016,12
918.48,549.86,62.36,2.2710944259026746,167.16,66.45,4.831189598047765,65594,4.7,101.6088,108.5,113.7,199.3,11154.6,9100.107,10864.86,2305.82,1280.079956,2017,1
952.13,555.0,59.71,2.143589361503588,179.84,65.46,4.783483721384507,65364,4.8,101.6839,108.6,112.8,199.4,11216.5,9134.653,10993.41,2281.39,1280.660034,2017,2
1037.52,557.09,60.93,2.064327903869788,174.44,62.92,4.729156165769083,65354,4.7,101.8522,108.8,112.7,199.7,11263.0,9168.089,11109.32,2339.79,1294.869995,2017,3
1263.16,610.65,68.0,2.1004689088719113,180.35,64.46,4.7510870608882465,66846,4.7,102.2952,109.6,115.1,200.7,11304.7,9223.277,11367.14,2322.57,1310.609985,2017,4
1337.84,675.39,68.61,1.9810014688665833,193.17,63.97,4.690980842401202,67706,4.6,102.1531,110.4,117.2,201.3,11319.0,9254.113,11168.31,2178.88,1270.089966,2017,5
1077.41,596.15,68.29,1.9740810260220096,195.16,64.14,4.627029520340985,67935,4.6,102.522,111.2,117.3,201.8,11369.6,9283.841,11150.22,2172.09,1270.199951,2017,6
1121.24,633.71,72.51,1.969905654611529,202.43,68.66,4.642176911617187,67559,4.7,102.5057,111.6,118.2,202.9,11402.6,9360.404,11185.68,2091.47,1276.660034,2017,7
1225.39,632.59,71.81,2.0955609235597192,189.91,75.73,4.728537599938376,66606,4.7,102.8357,112.1,118.8,203.8,11435.8,9368.647,11381.15,2183.75,1303.819946,2017,8
1159.93,598.19,61.97,1.7749523509116738,195.98,77.88,4.703747749349085,66217,4.5,102.6606,111.7,116.2,202.8,11484.4,9393.903,11679.07,2258.43,1335.849976,2017,9
